"PC","Percent_variance","Cumulative_variance"
1,18.8663346995801,18.8663346995801
2,16.0926253443512,34.9589600439313
3,8.70793862273362,43.6668986666649
4,8.17490548594006,51.841804152605
5,3.67193350431741,55.5137376569224
6,3.54853356571759,59.06227122264
7,3.04768063209174,62.1099518547317
8,2.72735651918273,64.8373083739145
9,2.49889958324452,67.336207957159
10,2.10471551620636,69.4409234733653
11,1.99916327308284,71.4400867464482
12,1.87479424733751,73.3148809937857
13,1.8086040533829,75.1234850471686
14,1.46889582853971,76.5923808757083
15,1.31591839282883,77.9082992685371
16,1.24855272066219,79.1568519891993
17,1.20691203461025,80.3637640238096
18,1.02852033876386,81.3922843625734
19,0.98729860945707,82.3795829720305
20,0.925080353258324,83.3046633252888
21,0.908121667041467,84.2127849923303
22,0.865408156616683,85.078193148947
23,0.801588806961352,85.8797819559083
24,0.756335748101876,86.6361177040102
25,0.73755506617864,87.3736727701888
26,0.729233174596596,88.1029059447854
27,0.689267103765449,88.7921730485509
28,0.670342487498152,89.462515536049
29,0.633471026125105,90.0959865621741
30,0.628291482233307,90.7242780444074
31,0.608555488557764,91.3328335329652
32,0.585783914835897,91.9186174478011
33,0.566065462722266,92.4846829105234
34,0.542551919774579,93.027234830298
35,0.528241106387601,93.5554759366856
36,0.493686053689833,94.0491619903754
37,0.478639184049886,94.5278011744253
38,0.471546809451413,94.9993479838767
39,0.466491293623439,95.4658392775001
40,0.457571036063978,95.9234103135641
41,0.449547772184688,96.3729580857488
42,0.438753922546766,96.8117120082955
43,0.428154636597586,97.2398666448931
44,0.426358434377584,97.6662250792707
45,0.417540799643267,98.083765878914
46,0.412009702515724,98.4957755814297
47,0.396384060571586,98.8921596420013
48,0.378722660590819,99.2708823025921
49,0.373787177524844,99.644669480117
50,0.355330519883028,100
