"gene","logFC","logCPM","F","PValue","FDR","significance"
"GPT",-4.86924566303974,4.01483353922547,163.794608610083,1.06773663562651e-08,4.43217477448565e-06,"Down in tumor"
"KRT80",4.37264473336687,3.73746339968448,96.2728237418876,1.4353767590303e-08,5.76604734845303e-06,"Up in tumor"
"CA7",-9.9484943968138,7.49912883429715,117.906968049976,1.65026589037631e-08,6.27127140780301e-06,"Down in tumor"
"FOXP2",-6.19175648958621,1.49099978089344,99.2550485746672,1.66186426128242e-08,6.27127140780301e-06,"Down in tumor"
"CA1",-8.81701182868505,5.55753491301304,107.7577959337,1.85624586475919e-08,6.7832912161982e-06,"Down in tumor"
"FOSB",-1.91785332972753,8.49768548012214,146.514016113802,1.93950391703723e-08,6.7832912161982e-06,"Down in tumor"
"KRT23",7.00043418895033,5.60295305158934,119.564292822572,1.9609610839407e-08,6.7832912161982e-06,"Up in tumor"
"ARNTL2",2.80368789638774,2.5969360182807,90.5202952939613,2.15840959285041e-08,7.26450666480167e-06,"Up in tumor"
"VSIG2",-6.85916994306713,6.32788228007165,132.982888050977,2.25575503462224e-08,7.39234669635546e-06,"Down in tumor"
"EPB41L4A",-5.47953129739165,0.309105687433645,92.5406679663027,2.59177265474472e-08,8.27572945372718e-06,"Down in tumor"
"SCN9A",-7.1430018370986,1.64678764245672,85.7042363722169,3.31417886295325e-08,1.03178673450892e-05,"Down in tumor"
"TRIB3",4.95362335386959,5.22184718495147,109.218669754759,3.50001026206862e-08,1.06306409252538e-05,"Up in tumor"
"OAS3",2.59568046197895,4.06266719963656,107.288979174757,4.35546750965956e-08,1.29139611661406e-05,"Up in tumor"
"PDE9A",-2.77044994872126,3.88117142681291,127.434074691449,4.57494736742926e-08,1.31776927665085e-05,"Down in tumor"
"PACSIN3",5.98942573033422,3.25788548516982,109.743703451068,4.6560546191791e-08,1.31776927665085e-05,"Up in tumor"
"HOXD11",-5.20868885948942,0.867967514191854,76.9720170568892,5.2434989476918e-08,1.45105094212458e-05,"Down in tumor"
"GRINA",1.91396183339593,5.35697599538939,120.003736157256,5.85995595729806e-08,1.57053692135959e-05,"Up in tumor"
"LYPD8",-6.83498147905116,7.234578624832,114.349788348295,5.98796991628117e-08,1.57053692135959e-05,"Down in tumor"
"BMP3",-6.42991404618742,0.948064850146388,80.9269913081335,6.0536234020124e-08,1.57053692135959e-05,"Down in tumor"
"CGREF1",4.85582753377343,2.82967902134641,76.0499998660671,6.29311309768703e-08,1.59934974296932e-05,"Up in tumor"
"OTOP2",-12.1503812048316,6.19547296561521,245.155435344936,6.84160237088162e-08,1.70396948649178e-05,"Down in tumor"
"PROCR",3.73828415813879,4.29806393875856,82.6895318873654,7.55561546494719e-08,1.84490351735269e-05,"Up in tumor"
"GFI1B",-5.40514317269117,0.207821304230364,74.0691985910557,9.79024923581775e-08,2.34457641795458e-05,"Down in tumor"
"PLCE1",-2.34574865375142,3.89387543375017,110.182121243808,1.05764619077059e-07,2.48506943654078e-05,"Down in tumor"
"ENTPD5",-2.19881331701172,4.48771928682712,107.704707526087,1.17419125269556e-07,2.7078154944107e-05,"Down in tumor"
"SCGN",-5.98507483260918,1.35836463403133,84.2554913002366,1.21731338983102e-07,2.7447315083556e-05,"Down in tumor"
"C15orf48",-2.6192557610419,9.78462886352844,107.134121645761,1.23428061084007e-07,2.7447315083556e-05,"Down in tumor"
"CLDN1",4.68380046710361,4.37820226677656,91.496368186711,1.32512414681334e-07,2.86304388756019e-05,"Up in tumor"
"RP11-420N3.2",-5.33116927999536,0.836908277089459,68.983772365268,1.33346619672762e-07,2.86304388756019e-05,"Down in tumor"
"TMEM236",-4.67595924492264,2.89172775359344,96.0056290135966,1.35995064661133e-07,2.87041786478828e-05,"Down in tumor"
"BCL2L1",2.41452328928982,5.38416175109773,88.805870174836,1.41622857964341e-07,2.9393824170499e-05,"Up in tumor"
