"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.86746295224476,0.327,0.114,0,"9","TFF1"
0,2.73174634473621,0.277,0.136,0,"9","SLPI"
0,2.69282142153749,0.253,0.113,0,"9","ANXA3"
0,2.64725059202935,0.377,0.138,0,"9","SPINK1"
0,2.57329944279162,0.325,0.14,0,"9","PRAP1"
0,2.49755339537309,0.543,0.185,0,"9","GPX2"
0,2.41965952981398,0.358,0.149,0,"9","LCN2"
0,2.36783972500375,0.313,0.161,0,"9","NQO1"
0,10.662205129427,0.388,0.001,0,"10","KRT24"
0,9.55266205786115,0.615,0.006,0,"10","PCOLCE2"
0,9.32604719786704,0.599,0.004,0,"10","PI16"
0,8.79547568285207,0.785,0.019,0,"10","MFAP5"
0,8.7283251713336,0.258,0.001,0,"10","FIGF"
0,8.49279924323174,0.531,0.003,0,"10","SHISA3"
0,8.29758113699519,0.327,0.002,0,"10","AOX1"
0,8.1395139885232,0.846,0.008,0,"10","OGN"
0,8.03752633827905,0.376,0.002,0,"10","OMD"
0,7.78832716294795,0.864,0.02,0,"10","DPT"
0,7.05755775760805,0.649,0.019,0,"11","ADH1C"
0,6.64159134087953,0.47,0.007,0,"11","NXPE4"
0,6.14880372239333,0.368,0.007,0,"11","UGT2A3"
0,6.04706632356272,0.703,0.022,0,"11","HMGCS2"
0,5.74814009520354,0.25,0.006,0,"11","RP11-519G16.5"
0,5.69555895934562,0.524,0.013,0,"11","MUC4"
0,5.41226620714034,0.653,0.054,0,"11","WFDC2"
0,5.37067949707674,0.273,0.005,0,"11","HEPACAM2"
0,5.16836848836133,0.277,0.006,0,"11","GPT"
0,5.15361536057977,0.445,0.039,0,"11","PRAC1"
0,9.33263541352209,0.377,0.001,0,"12","COL10A1"
0,9.26597002500479,0.407,0.001,0,"12","COL11A1"
0,8.92937601044755,0.402,0.001,0,"12","WNT2"
0,8.57550365262344,0.314,0.001,0,"12","PLPP4"
0,8.23151913665207,0.328,0.001,0,"12","WISP1"
0,7.35752541290464,0.907,0.037,0,"12","CTHRC1"
0,7.00808506928757,0.79,0.016,0,"12","THBS2"
0,6.88252487820147,0.432,0.007,0,"12","COL7A1"
0,6.77968666017707,0.99,0.128,0,"12","COL1A1"
0,6.7055698506067,0.398,0.005,0,"12","TWIST1"
0,11.2385641841284,0.276,0.001,0,"13","RERGL"
0,9.31774755234524,0.433,0.005,0,"13","PLN"
0,9.0560715063699,0.332,0.003,0,"13","C2orf40"
0,8.65109338297196,0.583,0.01,0,"13","MYH11"
0,7.97956827032219,0.477,0.005,0,"13","COX4I2"
0,7.76384078562941,0.29,0.004,0,"13","KCNJ8"
0,7.57193516689456,0.323,0.003,0,"13","CDH6"
0,7.35107077088218,0.272,0.004,0,"13","ENPEP"
0,7.34101245151552,0.295,0.004,0,"13","FOXS1"
0,7.33445026983031,0.309,0.005,0,"13","ITGA7"
0,9.0406208413703,0.324,0.001,0,"14","LILRA4"
0,6.80686043424759,0.293,0.004,0,"14","FCER1A"
0,6.3888299946,0.455,0.014,0,"14","CLEC10A"
