"Broad_cell_type","median_normal","median_tumor","median_paired_difference","p_value","FDR"
"B cells",0.321333990233774,0.062261432135076,-0.253724119568783,0.00592153702414871,0.0187722208019771
"Epithelial cells",0.0643086633962646,0.187878302554568,0.131280448992856,0.00804523748656161,0.0187722208019771
"Myeloid cells",0.0199193208768313,0.144182882511402,0.125595771111466,0.00592153702414877,0.0187722208019771
"Mast cells",0.00511643190303933,0,-0.00511643190303933,0.0108269212771313,0.0189471122349798
"Endothelial cells",0.0426070925511641,0.0150606898258027,-0.0273308516899326,0.0144328239388418,0.0202059535143785
"Fibroblasts",0.140052302103943,0.0407868139131977,-0.102025897694899,0.0190588916017305,0.0222353735353522
"T/NK cells",0.369374578990358,0.411827255707015,0.0326842948655905,0.22127181567247,0.22127181567247
