"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ALLOGRAFT_REJECTION",0.0117802856224385,0.0392676187414617,0.380730400722792,0.329169328657367,1.42488239933972,127,"STAT1;TIMP1;CDKN2A;FLNA;CD47;LIF;RIPK2;NME1;CXCL13;IL1B;MRPL3;IFNAR2;TAP1;IFNGR1;GZMB;DEGS1;TNF;NPM1;C2;UBE2N;INHBB;MMP9;GBP2;CCL4;CAPG;EIF5A;IL6;LYN;HDAC9;PF4;HLA-E;TAP2;MAP3K7;ITGB2;EREG;IFNGR2;HLA-DRA;HLA-DMB;TGFB2;ABCE1;IL15;ICAM1;CD8B;RPS19;CD74"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0115579525259795,0.0392676187414617,0.380730400722792,0.325722883549281,1.41659937218516,129,"ENO2;TIMP1;TGFBI;SPP1;FSTL3;TGM2;MYL9;MMP1;FLNA;SERPINE2;PLOD3;CXCL8;CTHRC1;LAMC1;PRSS2;PVR;TIMP3;CD44;CALU;GPC1;PLOD1;SLC6A8;SNTB1;ECM1;IL32;GEM;SERPINE1;SAT1;TPM2;CXCL1;MSX1;SERPINH1;CAPG;TPM4;TGFBR3;IL6;GLIPR1;LGALS1;COL1A1;HTRA1;PMEPA1;BGN"
"HALLMARK_FATTY_ACID_METABOLISM",0.0151613437561172,0.0473791992378664,0.380730400722792,-0.325423389727295,-1.44541649147543,136,"CPT1A;CA4;ACADS;CA2;ACADVL;ADH1C;TP53INP2;FABP2;ACSM3;SUCLG2;UGDH;CPT2;HMGCS2;ECH1;ECI2;D2HGDH;SDHA;CD36;ALDH3A1;MAOA;ETFDH;GSTZ1;ACADM;RETSAT;HADHB;ACO2;HMGCL;HSD17B11;MGLL;SLC22A5;HADH;AQP7;HPGD;EHHADH;EPHX1;SUCLG1;FABP1"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0175128711733886,0.0515084446276134,0.352487857583619,-0.296910351056247,-1.3361029287024,148,"ENTPD5;CA2;HSD17B2;PDK4;GCNT2;ADH1C;NDRG2;MT2A;PAPSS2;UGDH;ECH1;ID2;FAS;MAN1A1;CD36;ASL;ALDH3A1;SERTAD1;MAOA;ETFDH;SLC35D1;RETSAT;ETS2;FBLN1;ACO2;ABCC3;AKR1C2;SERPINA6;FBP1;CAT;IGFBP4;PSMB10;EPHX1;PDLIM5;CYFIP2;FABP1;HMOX1;GSR;AP4B1;GCH1;ALDH2;DHRS1;LEAP2;AKR1C3;CES1;CROT;EPHA2;CYP2J2;ARG2;GABARAPL1;CASP6;JUP"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0197889160289213,0.0549692111914481,0.352487857583619,0.43047513324822,1.5529646696009,43,"PRDX1;NQO1;PRNP;PRDX4;G6PD;PRDX2;GPX4;GLRX2;FTL;TXNRD1;ATOX1"
"HALLMARK_G2M_CHECKPOINT",0.0230889135682437,0.0577222839206092,0.352487857583619,0.286641027873395,1.30441960287754,182,"CDC25B;UBE2C;CDK1;SLC7A5;CKS1B;HMGA1;SAP30;MYBL2;MAD2L1;CDKN3;AURKA;PTTG1;TPX2;CDK4;HSPA8;CDC45;PML;KIF5B;CCND1;AURKB;BIRC5;MAPK14;DTYMK;PLK1;CDC6;SQLE;CUL4A;CCNA2;DKC1;TROAP;TTK;HMGB3;NEK2;SMC1A;CBX1;MKI67;SNRPD1;RAD23B;BUB3;ORC6;UBE2S;CCNF;FBXO5;MYC;SUV39H1;CKS2;BRCA2;TOP1;XPO1;CCNB2;PRC1;KIF2C;E2F1;NUSAP1;POLA2;UCK2;TFDP1;TACC3;STMN1;CHEK1;BUB1;ODF2;RASAL2;TMPO;E2F4"
"HALLMARK_HEME_METABOLISM",0.0222786008582732,0.0577222839206092,0.352487857583619,-0.28976903527924,-1.31257630856271,157,"CA1;CA2;NR3C1;ALDH6A1;TRAK2;RIOK3;FBXO34;BMP2K;RBM38;SELENBP1;SLC30A10;SLC30A1;ELL2;BTG2;ABCG2;DAAM1;E2F2;NNT;ACKR1;SIDT2;KLF3;ATP6V0A1;EPB41;TNRC6B;TMEM9B;TRIM58;USP15;CTSE;BCAM;UBAC1;CAT;YPEL5;RNF19A;MFHAS1;ADD1;ALDH1L1;BACH1;ENDOD1"
"HALLMARK_KRAS_SIGNALING_DN",0.0255142965729297,0.0579870376657493,0.352487857583619,-0.352389061176784,-1.42342969806964,73,"INSL5;CLDN8;ZBTB16;HSD11B2;CAMK1D;AKR1B10;SIDT1;BTG2;CAPN9;GP2;CNTFR;TFCP2L1;CCDC106;STAG3;FGFR3;YBX2;SYNPO;MAGIX;PDK2;EDN2;ASB7;GPRC5C;SGK1;MFSD6"
"HALLMARK_TGF_BETA_SIGNALING",0.0249771534871838,0.0579870376657493,0.352487857583619,-0.392597191124775,-1.47475597217446,50,"BMP2;SMAD7;THBS1;ID2;JUNB;ID3;ID1;APC;SMURF2;PPP1R15A;SLC20A1;HDAC1;PPM1A"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0574074074074074,0.114814814814815,0.257206466468838,0.35183010367503,1.37152735530398,66,"TRIB3;SCD;S100A11;NSDHL;ALDOC;CXCL16;DHCR7;CTNNB1;PLSCR1;PDK3;EBP;FBXO6;TM7SF2;FDPS;SQLE;MAL2;ANXA5;HSD17B7;JAG1;ACAT2;FASN;SC5D;ALCAM;TNFRSF12A;IDI1;SEMA3B;TMEM97"
"HALLMARK_IL2_STAT5_SIGNALING",0.0530164533820841,0.114814814814815,0.266350657088526,0.289456587908394,1.28619842361625,152,"ETV4;IFITM3;BCL2L1;SPP1;PRNP;TGM2;CD81;ANXA4;BHLHE40;CXCL10;P4HA1;LIF;GPX4;PDCD2L;PRAF2;PHLDA1;IFNGR1;PLSCR1;GBP4;CD44;DCPS;NCS1;ECM1;CDC6;PTRH2;TNFRSF1B;AHCY;CAPG;ENPP1;ITGAE;CCNE1;MAP3K8;ADAM19;AHR;GSTO1;SYNGR2;HUWE1;MYC;UMPS;AMACR"
"HALLMARK_PROTEIN_SECRETION",0.0568181818181818,0.114814814814815,0.261663521711573,0.320646057168496,1.31830592611036,93,"PPT1;SCRN1;YKT6;BET1;AP3S1;RAB22A;LAMP2;PAM;CLN5;VAMP3;TSG101;SCAMP3;SOD1;ERGIC3;YIPF6;M6PR;STX16;CLTA;ARFGAP3;ANP32E;COPB2;KRT18;STAM;TMED2;ICA1;VAMP7"
"HALLMARK_UV_RESPONSE_DN",0.0611353711790393,0.117568021498153,0.271288554688953,-0.302464820962669,-1.30360767079285,113,"NR3C1;SMAD7;KCNMA1;NOTCH2;SRI;EFEMP1;MT1E;ADGRL2;PHF3;LPAR1;ID1;CDC42BPA;SIPA1L1;DUSP1;PRKAR2B;PTEN;DYRK1A;MGLL;LDLR;RASA2;CITED2;RXRA;YTHDC1;PDLIM5;ERBB2;DDAH1;ARHGEF9;PTPN21;NIPBL;KALRN;NFKB1;PRKCA;PRKCE;VLDLR;CAV1;GCNT1;SYNJ2;ADD3;TJP1;PLPP3;DLG1;HAS2"
"HALLMARK_COMPLEMENT",0.0671506352087114,0.12435302816428,0.234392647294686,0.28256876471981,1.25376993628939,148,"S100A9;TIMP1;CTSH;APOC1;ME1;LIPA;MMP12;PSMB9;DUSP6;FCER1G;GZMB;PDP1;PLSCR1;CASP4;MSRB1;LAMP2;C4BPB;DUSP5;PPP4C;GNAI2;ATOX1;C2;LAP3;CEBPB;SERPINE1;CD46;CXCL1;ANXA5;CTSB;ADAM9;F10;CFB;IL6;PLA2G7;TIMP2;LYN"
"HALLMARK_HYPOXIA",0.0731261425959781,0.130582397492818,0.224966093540314,0.278385307906493,1.24845939458948,161,"ENO2;SLC6A6;LDHA;PGK1;TGFBI;TGM2;STC2;SULT2B1;ENO1;BHLHE40;S100A4;ERO1A;P4HA1;ALDOB;IGFBP1;KLF7;SLC2A1;B3GALT6;GAPDH;ALDOC;SAP30;SCARB1;SDC3;TPI1;GPC1;DDIT4;AKAP12;PAM;PDK3;KDELR3;HS3ST1"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0925925925925926,0.159642401021711,0.199915231309662,0.288411376186323,1.23997644961349,120,"LY6E;CXCL11;IFITM1;TIMP1;MET;ADRM1;CXCL10;BST2;IRAK2;LIF;NMI;RIPK2;EIF2AK2;CXCL8;IL1B;LAMP3;PVR;SEMA4D"
"HALLMARK_KRAS_SIGNALING_UP",0.100877192982456,0.16812865497076,0.208955027549354,-0.268658886499205,-1.20842628638292,151,"ADAMDEC1;CA2;HOXD11;TPH1;EPB41L3;BMP2;KLF4;SPARCL1;PLVAP;KIF5C;GNG11;TNNT2;CFH;VWA5A;ID2;TSPAN7;MTMR10;FGF9;CXCR4;F2RL1;SPON1;DNMBP;NR1H4;CTSS;PPP1R15A;TSPAN1;PCSK1N;PLAT;FUCA1;MPZL2;PIGR"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.105032822757112,0.169407778640503,0.204294756516886,-0.266634927446405,-1.21350846306709,165,"CA12;CA2;PDCD4;SLC26A2;NPY1R;BCL2;RAPGEFL1;KLF4;TST;NRIP1;FOS;IL6ST;AFF1;PAPSS2;UGDH;HMGCS2;ID2;EMP2;FKBP5;NBL1;IMPA2;FABP5;BAG1;SLC27A2;HR;SCUBE2;UNC13B;OLFM1;LLGL2;COX6C;TIAM1;PRKAR2B;SCNN1A;TJP3;FGFR3;ST14;CKB;SLC22A5;CXCL12;IGFBP4;PRLR"
